t,[s]	T,[C]	m,[g]
0	80	298.31
30	79	297.88
60	78.2	297.6
90	77.2	297.3
120	76.6	297.06
150	75.3	296.75
180	74.8	296.45
210	73.8	296.25
240	73.3	296.04
270	72.5	295.82
300	71.8	295.61
330	70.9	295.4
360	70.2	295.2
390	69.6	295
420	68.9	294.81
450	68.3	294.63
480	67.7	294.47
510	67	294.29
540	66.3	294.11
570	65.6	293.94
600	65.3	293.83
630	64.6	293.68
660	64.2	293.54
690	63.4	293.39
720	63.1	293.26
750	62.5	293.12
780	62	293
810	61.4	292.87
840	61	292.76
870	60.6	292.65
900	60.2	292.53
930	59.6	292.43
960	59	292.32
990	58.7	292.22
1020	58.2	292.12
1050	57.8	292.02
1080	57.5	291.91
1110	57.1	291.82
1140	56.6	291.71
1170	56.3	291.66
1200	55.9	291.57
1230	55.4	291.47
1260	55	291.38
1290	54.8	291.3
1320	54.3	291.22
1350	54.1	291.15
1380	53.7	291.06
1410	53.4	290.99
1440	52.9	290.92
1470	52.8	290.83
1500	52.4	290.77
1530	52	290.7
1560	51.6	290.63
1590	51.3	290.56
1620	51.1	290.49
1650	50.7	290.43
1680	50.5	290.36
1710	50	290.3
1740	49.8	290.24
1770	49.6	290.18
1800	49.3	290.1

