t,[s]	T,[C]	m,[g]
0	80	178.76
30	77.7	178.59
60	76.4	178.4
90	75.3	178.21
120	74.3	178.02
150	73.4	177.83
180	72.4	177.65
210	71.5	177.47
240	70.6	177.33
270	69.8	177.18
300	68.9	177.02
330	68	176.89
360	67.3	176.76
390	66.4	176.62
420	65.5	176.5
450	65.1	176.37
480	64.2	176.24
510	63.3	176.15
540	62.6	176.05
570	62.5	175.95
600	61.8	175.84
630	61.2	175.75
660	60.5	175.66
690	59.9	175.58
720	59.4	175.5
750	58.7	175.4
780	58.2	175.32
810	57.5	175.24
840	57	175.17
870	56.7	175.1
900	56.1	175.03
930	55.7	174.96
960	55.1	174.89
990	54.7	174.82
1020	54.2	174.77
1050	53.7	174.69
1080	53.2	174.64
1110	52.8	174.58
1140	52.1	174.53
1170	51.9	174.46
1200	51.4	174.41
1230	51.7	174.36
1260	50.5	174.31
1290	50.2	174.26
1320	49.8	174.21
1350	49.5	174.16
1380	49.2	174.11
1410	48.8	174.06
1440	48.5	174.02
1470	48.3	173.98
1500	47.7	173.93
1530	47.3	173.9
1560	47.2	173.86
1590	46.7	173.82
1620	46.5	173.78
1650	46.2	173.74
1680	45.8	173.7
1710	45.6	173.66
1740	44.6	173.62
1770	44.5	173.59
1800	44.2	173.55
1830	43.9	173.52
1860	43.5	173.48
1890	43.4	173.45
1920	43	173.42
1950	42.9	173.39
1980	42.6	173.36
2010	42.5	173.33
2040	42	173.3
2070	41.9	173.27
2100	41.6	173.24
