t,[s]	T,[C]	m,[g]
0	80.9	186.33
30	79.4	186.13
60	78	185.89
90	76.9	185.68
120	76	185.48
150	74.6	185.28
180	73.9	185.09
210	73	184.89
240	71.7	184.73
270	70.9	184.56
300	70.2	184.4
330	69.3	184.25
360	68.5	184.1
390	67.7	183.96
420	67	183.84
450	66.2	183.72
480	65.3	183.6
510	64.9	183.49
540	64.2	183.38
570	63.4	183.27
600	62.9	183.16
630	62.3	183.06
660	61.5	182.96
690	60.7	182.87
720	60.3	182.78
750	59.8	182.69
780	59.2	182.61
810	58.7	182.52
840	58.2	182.44
870	57.6	182.36
900	57.1	182.29
930	56.7	182.21
960	56	182.15
990	55.6	182.07
1020	55.2	182.01
1050	54.7	181.94
1080	54.4	181.88
1110	53.9	181.82
1140	53.3	181.76
1170	53.1	181.7
1200	52.5	181.65
1230	52.2	181.58
1260	51.9	181.54
1290	51.3	181.48
1320	51.1	181.43
1350	50.8	181.38
1380	50.3	181.34
1410	49.9	181.29
1440	49.6	181.24
1470	49.2	181.2
1500	48.8	181.15
1530	48.6	181.11
1560	48.2	181.07
1590	47.8	181.03
1620	47.6	180.98
1650	47.2	180.94
1680	47	180.9
1710	46.6	180.86
1740	46.4	180.82
1770	46	180.78
1800	45.8	180.75
1830	45.3	180.71
1860	45	180.67
1890	45	180.64
1920	44.7	180.61
1950	44.3	180.57
1980	44.1	180.54
2010	43.8	180.51
2040	43.6	180.48
2070	43.3	180.44
2100	43.1	180.41
2130	42.7	180.38
2160	42.6	180.35
2190	42.3	180.33
2220	42	180.3
2250	41.8	180.27
2280	41.6	180.25
2310	41.3	180.22
2340	41.1	180.19
2370	41	180.17
2400	40.8	180.15
